Year,Lat,Lon,Sirex_Presence
2013,-31.01993,28.21116,No Sirex
2013,-31.11563,28.34256,No Sirex
2013,-31.18177,28.07539,No Sirex
2013,-31.16515,28.18177,No Sirex
2013,-31.3022,28.06611,No Sirex
2013,-31.266369,28.148853,No Sirex
2013,-31.16038,28.09609,No Sirex
2013,-31.3973,28.56842,No Sirex
2013,-31.39967,28.54594,No Sirex
2013,-31.07242,28.22111,No Sirex
2013,-31.49331,28.4364,No Sirex
2013,-31.07386,28.21815,No Sirex
2013,-31.27356,28.17883,No Sirex
2013,-31.55005,28.36366,No Sirex
2013,-31.25779,28.08309,No Sirex
2013,-31.44514,28.54286,No Sirex
2013,-31.45187,28.04748,No Sirex
2013,-31.49335,28.43258,No Sirex
2013,-31.56953,28.31905,No Sirex
2013,-31.58221,28.39025,No Sirex
2013,-32.597895,27.25707,No Sirex
2013,-32.684246,27.303989,No Sirex
2013,-32.526413,27.354433,No Sirex
2013,-34.022339,24.175563,No Sirex
2013,-33.906704,23.06324,No Sirex
2013,-33.862109,23.115334,No Sirex
2013,-33.87052,23.12159,No Sirex
2013,-33.871188,22.679497,No Sirex
2013,-33.87904,22.62926,No Sirex
2013,-33.87704,22.65771,No Sirex
2013,-33.888938,22.877573,No Sirex
2013,-33.88825,23.15693,No Sirex
2013,-33.88702,22.88521,No Sirex
2013,-33.88825,22.90317,No Sirex
2013,-33.88702,22.83408,No Sirex
2013,-33.889892,22.732408,No Sirex
2013,-33.894395,23.036554,No Sirex
2013,-33.891658,23.134329,No Sirex
2013,-33.902626,22.682806,No Sirex
2013,-33.90438,23.16336,No Sirex
2013,-33.90624,22.71796,No Sirex
2013,-33.907163,21.988546,No Sirex
2013,-33.908547,23.428088,No Sirex
2013,-33.919014,22.72858,No Sirex
2013,-33.91853,22.73378,No Sirex
2013,-33.929217,22.767849,No Sirex
2013,-33.966181,22.528421,No Sirex
2013,-33.914871,22.02467,No Sirex
2013,-33.99861,24.29065,No Sirex
2013,-34.00171,18.41889,No Sirex
2013,-34.012082,23.11292,No Sirex
2013,-34.016272,22.84302,No Sirex
2013,-34.046207,22.97904,No Sirex
2013,-34.052008,18.424274,No Sirex
2013,-34.05932,18.40988,No Sirex
2013,-34.06226,18.41694,No Sirex
2013,-34.06865,23.26372,No Sirex
2014,-22.88809,30.27898,No Sirex
2014,-22.91556,30.2831,No Sirex
2014,-22.924005,30.319571,No Sirex
2014,-22.997988,29.867074,No Sirex
2014,-23.004772,30.162245,No Sirex
2014,-23.008,30.24404,No Sirex
2014,-23.003311,30.079314,No Sirex
2014,-23.01903,30.20792,No Sirex
2014,-23.01864,30.17594,No Sirex
2014,-23.007424,30.074669,No Sirex
2014,-23.04253,30.26858,No Sirex
2014,-22.936245,30.341934,No Sirex
2014,-23.020784,30.308171,No Sirex
2014,-23.796908,29.98419,No Sirex
2014,-23.802679,30.03023,No Sirex
2014,-23.81257,29.94335,No Sirex
2014,-23.82584,29.960822,No Sirex
2014,-23.848917,29.993768,No Sirex
2014,-23.87611,29.973433,No Sirex
2014,-23.956037,30.109166,No Sirex
2014,-23.98604,30.09384,No Sirex
2014,-23.99352,30.12789,No Sirex
2014,-24.68698,30.83311,No Sirex
2014,-24.703548,30.841167,No Sirex
2014,-24.71235,30.819,No Sirex
2014,-24.76764,30.85742,No Sirex
2014,-24.78509,30.885,No Sirex
2014,-24.790567,30.86573,No Sirex
2014,-24.81431,30.84587,No Sirex
2014,-24.832205,30.691669,No Sirex
2014,-24.840908,30.872602,No Sirex
2014,-24.832699,30.810034,No Sirex
2014,-24.86797,30.73274,No Sirex
2014,-24.88618,30.69965,No Sirex
2014,-24.92224,30.6755,No Sirex
2014,-24.92959,30.69293,No Sirex
2014,-24.93936,30.75575,No Sirex
2014,-24.93544,30.92406,No Sirex
2014,-24.94359,30.75921,No Sirex
2014,-24.95559,30.78122,No Sirex
2014,-24.95761,30.826533,No Sirex
2014,-24.97877,30.82849,No Sirex
2014,-25.002614,30.789645,No Sirex
2014,-25.02042,30.82495,No Sirex
2014,-25.021585,30.814379,No Sirex
2014,-25.03227,30.92989,No Sirex
2014,-25.03398,30.85783,No Sirex
2014,-25.035097,30.77987,No Sirex
2014,-25.027739,30.703435,No Sirex
2014,-25.039432,30.900094,No Sirex
2014,-25.05017,30.86908,No Sirex
2014,-25.05388,30.8167,No Sirex
2014,-25.055895,30.799033,No Sirex
2014,-25.07833,30.76405,No Sirex
2014,-25.08154,30.89241,No Sirex
2014,-25.094535,30.818641,No Sirex
2014,-25.099657,30.704367,No Sirex
2014,-25.242219,30.736278,No Sirex
2014,-25.048238,30.933214,No Sirex
2014,-25.1132,30.64837,No Sirex
2014,-25.114255,31.019742,No Sirex
